year,version,outcome,probability_bin,sample_count,avg_predicted_prob,actual_rate
2010,V3_elo_recent_form_h2h,away_win,"(0.6, 0.7]",2,0.6396455113041994,0.0
2010,V3_elo_recent_form_h2h,away_win,"(0.7, 0.8]",3,0.7139568133426796,0.0
2010,V3_elo_recent_form_h2h,away_win,"(0.8, 0.9]",1,0.8491362413743765,0.0
2010,V4_elo_recent_form_goal_stats,home_win,"(-0.001, 0.1]",3,0.07505029046179677,0.6666666666666666
2010,V4_elo_recent_form_goal_stats,home_win,"(0.1, 0.2]",5,0.154172809301497,0.4
2010,V4_elo_recent_form_goal_stats,home_win,"(0.2, 0.3]",11,0.24485052818966963,0.45454545454545453
2010,V4_elo_recent_form_goal_stats,home_win,"(0.3, 0.4]",9,0.34966786983989545,0.8888888888888888
2010,V4_elo_recent_form_goal_stats,home_win,"(0.4, 0.5]",7,0.4541552672211226,0.7142857142857143
2010,V4_elo_recent_form_goal_stats,home_win,"(0.5, 0.6]",16,0.5488667713907041,0.8125
2010,V4_elo_recent_form_goal_stats,home_win,"(0.6, 0.7]",8,0.651507120712993,1.0
2010,V4_elo_recent_form_goal_stats,home_win,"(0.7, 0.8]",5,0.7449269624408431,0.8
2010,V4_elo_recent_form_goal_stats,draw,"(0.1, 0.2]",5,0.169309919504058,0.4
2010,V4_elo_recent_form_goal_stats,draw,"(0.2, 0.3]",46,0.26300357766074556,0.21739130434782608
2010,V4_elo_recent_form_goal_stats,draw,"(0.3, 0.4]",13,0.31041047968010493,0.3076923076923077
2010,V4_elo_recent_form_goal_stats,away_win,"(-0.001, 0.1]",6,0.07425167242142758,0.0
2010,V4_elo_recent_form_goal_stats,away_win,"(0.1, 0.2]",21,0.15506928950313764,0.0
2010,V4_elo_recent_form_goal_stats,away_win,"(0.2, 0.3]",9,0.23944856590777336,0.0
2010,V4_elo_recent_form_goal_stats,away_win,"(0.3, 0.4]",9,0.34740475112444963,0.0
2010,V4_elo_recent_form_goal_stats,away_win,"(0.4, 0.5]",9,0.46110674687387376,0.0
2010,V4_elo_recent_form_goal_stats,away_win,"(0.5, 0.6]",5,0.5235550489283085,0.2
2010,V4_elo_recent_form_goal_stats,away_win,"(0.6, 0.7]",4,0.6731579872574887,0.0
2010,V4_elo_recent_form_goal_stats,away_win,"(0.8, 0.9]",1,0.8419081640776418,0.0
