fixture_id,team_id,team,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals,goals_prevented
1538999,17,South Korea,3,4,10,3,6,4,5,3,2,59%,,,0,349,302,87%,0.85,0.32
1538999,770,Czech Republic,0,2,2,1,1,1,8,4,1,41%,,,3,231,163,71%,0.29,0.32
1489369,16,Mexico,4,7,16,5,9,7,12,3,1,61%,1.0,1.0,2,520,467,90%,1.41,-0.47
1489369,1531,South Africa,2,1,3,0,1,2,11,1,1,39%,2.0,2.0,2,335,272,81%,0.07,-0.47
