version,status,updated_at,model_file,prediction_file,report_file,main_change,top1_accuracy,non_draw_pick_accuracy,log_loss,brier_score,draw_recall,notes,validation_log_loss,validation_brier_score,validation_top1_accuracy,validation_non_draw_pick_accuracy,world_cup_backtest_avg_log_loss,world_cup_backtest_avg_brier,world_cup_backtest_avg_top1_accuracy,world_cup_backtest_avg_non_draw_pick_accuracy,world_cup_backtest_avg_draw_recall,world_cup_backtest_avg_draw_prob
calibrated_v3_floor_010_T1.2,fair_odds_probability,2026-06-10,models/calibrated_v3_probability_config.json,,data/reports/diagnostics/calibrated_model_diagnostic_report.zh-CN.md,"Fair odds probability model: v2_50_50 + 0.10 floor + T=1.2 temperature scaling",0.664063,0.853604,1.520002,0.499484,0.000000,"Selected for probability display/fair odds; winner model remains v4_elo_ensemble_calibrated_v1",,,,,1.520002,0.499484,0.664063,0.853604,0.000000,0.273599
v4_elo_ensemble_calibrated_v1,active,2026-06-10,models/match_result_v4_elo_ensemble_calibrated.joblib,data/processed/world_cup_2026_baseline.csv,data/reports/match_result_model_v1.zh-CN.md,V4 + Elo-only ensemble with recency/tournament weighting and calibration; draw as risk,0.6344,0.8285,2.2242,0.4783,0.0176,Calibration improved Brier but worsened Log Loss,2.2242,0.4783,0.6344,0.8285,2.115673,0.422372,0.679688,0.883522,0.019231,0.254578
match_result_logreg_v1,archived,2026-06-09,models/match_result_logistic_regression.joblib,,,First runnable multinomial logistic regression baseline,,,,,,Archived after draw/top-1 and calibration issues,,,,,,,,,,
