year,model,top1_accuracy,non_draw_pick_accuracy,log_loss,brier_score,draw_recall,avg_draw_prob,draw_risk_flags,predicted_draws,actual_draws,min_true_class_prob,worst_10_avg_log_loss
2010,v4_elo_ensemble_calibrated_v1,0.671875,0.8958333333333334,2.1361429408441692,0.4307608572525884,0.0,0.23504297060196952,33,0,16,0.07359539614023232,1.675952552016102
2010,raw_ensemble,0.546875,0.7291666666666666,1.483081020520478,0.5873776976494828,0.0,0.2690476034082377,52,0,16,0.0822610754771853,1.8567886015067523
2010,v2_70_30,0.671875,0.8958333333333334,1.8438913938441135,0.465365274482982,0.0,0.24509196392941038,36,0,16,0.09904240018102756,1.6688325248595253
2010,v2_60_40,0.65625,0.875,1.7825470282362639,0.4792638132258531,0.0,0.24853486496561647,38,0,16,0.10852127995976772,1.6724809758739252
2010,v2_50_50,0.65625,0.875,1.7245816642821237,0.49435232019824327,0.0,0.2519649832879173,40,0,16,0.11806346545076374,1.6861682519408354
2010,v3_floor_008,0.65625,0.875,1.6933826279255708,0.4943806942316798,0.0,0.25151710281516265,40,0,16,0.11451663776828946,1.6921004708875347
2010,v3_floor_010,0.65625,0.875,1.662581966373596,0.4953319334270818,0.0,0.250921098224982,40,0,16,0.11233738617486767,1.6959463549287281
2010,v3_floor_008_T1.2,0.65625,0.875,1.5706215717847334,0.5059112065063628,0.0,0.2680557523927515,51,0,16,0.1466894962616579,1.5623596876963983
2010,v3_floor_008_T1.5,0.65625,0.875,1.456445387855021,0.5236968755598312,0.0,0.2843071986489437,56,0,16,0.1834920264466355,1.443898563330268
2010,v3_floor_010_T1.2,0.65625,0.875,1.54591834807542,0.5073643728366992,0.0,0.267282913327907,50,0,16,0.14357750332099348,1.5666365318204611
2010,v3_floor_010_T1.5,0.65625,0.875,1.437620137115844,0.5256121576957052,0.0,0.28337782102375064,56,0,16,0.17941825245132204,1.4483651081456255
2014,v4_elo_ensemble_calibrated_v1,0.734375,0.9411764705882353,2.18179998010411,0.40299429995458036,0.07692307692307693,0.26383415103572105,41,4,13,0.09348632768127998,1.6371684690590609
2014,raw_ensemble,0.59375,0.7450980392156863,1.4616209703856167,0.543913680303391,0.0,0.26268085649232864,53,0,13,0.1746918779399142,1.535925217633355
2014,v2_70_30,0.703125,0.9019607843137255,1.857197357784851,0.4340425692754225,0.0,0.26335743904890957,42,1,13,0.1374385056879153,1.5498960660782832
2014,v2_60_40,0.703125,0.9019607843137255,1.7843589990418964,0.4465992996950653,0.0,0.26327577510317735,43,1,13,0.14503842185357815,1.5325906410382333
2014,v2_50_50,0.703125,0.8823529411764706,1.7188276174403254,0.46015287945892275,0.0,0.26318537572834344,46,1,13,0.15243779273995112,1.5189683487351833
2014,v3_floor_008,0.703125,0.8823529411764706,1.691465142006628,0.46032683524512896,0.0,0.26278243436038284,46,1,13,0.1482607399107829,1.523932497784626
2014,v3_floor_010,0.703125,0.8823529411764706,1.6678771906282601,0.4610159899753997,0.0,0.2623005917932673,46,1,13,0.1454318053428989,1.5277968784039442
2014,v3_floor_008_T1.2,0.703125,0.8823529411764706,1.5708674243724627,0.4783725880377371,0.0,0.2776231281559496,53,1,13,0.18025491303302668,1.4305297545518127
2014,v3_floor_008_T1.5,0.703125,0.8823529411764706,1.4582368639502108,0.502586909409023,0.0,0.2919923120093202,58,1,13,0.2146003370412434,1.3452909281293908
2014,v3_floor_010_T1.2,0.703125,0.8823529411764706,1.5519902930091818,0.47948570944490293,0.0,0.27699785702087154,52,1,13,0.17645654421805917,1.4347894240174022
2014,v3_floor_010_T1.5,0.703125,0.8823529411764706,1.443893132100075,0.5040929318192144,0.0,0.29124013491990863,57,1,13,0.20989955325387039,1.3497115433027358
2018,v4_elo_ensemble_calibrated_v1,0.71875,0.9215686274509803,2.0336575382302136,0.38600558830986215,0.0,0.2704404214272222,42,1,13,0.20361168719426362,1.3291823012212258
2018,raw_ensemble,0.5625,0.7058823529411765,1.3924816828082789,0.5736117334746702,0.0,0.26376472784058325,51,0,13,0.09210913115339628,1.664195520383594
2018,v2_70_30,0.734375,0.9215686274509803,1.768041176932736,0.42936383935640426,0.0,0.2684205344132119,44,0,13,0.1722790033191214,1.3956134466385124
2018,v2_60_40,0.75,0.9215686274509803,1.6999981315914119,0.4462512671011103,0.07692307692307693,0.26776125028082454,45,1,13,0.16082616443830353,1.4242616198595341
2018,v2_50_50,0.71875,0.9019607843137255,1.6382789988634723,0.46437284993102174,0.0,0.26710257463390275,45,0,13,0.14937332555748567,1.454994547957425
2018,v3_floor_008,0.71875,0.9019607843137255,1.6256922668314973,0.4647593873864527,0.0,0.2669525449071822,45,0,13,0.14937332555748567,1.454994547957425
2018,v3_floor_010,0.71875,0.9019607843137255,1.6016063319452183,0.46594274446388223,0.0,0.2664955485383511,45,0,13,0.14937332555748567,1.454994547957425
2018,v3_floor_008_T1.2,0.71875,0.9019607843137255,1.5192354429129875,0.4842584986810953,0.0,0.28097276768778456,54,0,13,0.17485085030297728,1.377397863948064
2018,v3_floor_008_T1.5,0.71875,0.9019607843137255,1.4196387335450247,0.5093840052497912,0.0,0.2944580008263847,62,0,13,0.2028086632064827,1.3067241980505817
2018,v3_floor_010_T1.2,0.71875,0.9019607843137255,1.4997677050777987,0.48570637343220907,0.0,0.280403481903444,53,0,13,0.17485085030297728,1.377397863948064
2018,v3_floor_010_T1.5,0.71875,0.9019607843137255,1.4046490435280923,0.5110139373301905,0.0,0.2937987407835706,60,0,13,0.2028086632064827,1.3067241980505817
2022,v4_elo_ensemble_calibrated_v1,0.59375,0.7755102040816326,2.1110913714867774,0.46972676402030866,0.0,0.24899467561851352,39,1,15,0.06237733813803041,1.738829444686197
2022,raw_ensemble,0.546875,0.7142857142857143,1.4495066180546936,0.5965653760920622,0.0,0.26082834146720013,50,0,15,0.03176638996480378,2.2078614108917254
2022,v2_70_30,0.625,0.7959183673469388,1.78999857248053,0.49575940891010456,0.06666666666666667,0.2523549185571566,41,1,15,0.05319405368606243,1.75564127695874
