year,model,uses_only_pre_world_cup_training_rows,calibration_rows_before_test,test_rows,prob_sum_min,prob_sum_max,min_probability,probabilities_below_0_01,world_cup_knockout_rows
2010,v4_elo_ensemble_calibrated_v1,True,True,64,0.9999999999999999,1.0000000000000002,0.013143667681226155,0,
2010,raw_ensemble,True,True,64,0.9999999999999999,1.0,0.03150279885379901,0,
2010,v2_70_30,True,True,64,0.9999999999999999,1.0000000000000002,0.04870257417124223,0,
2010,v2_60_40,True,True,64,0.9999999999999998,1.0000000000000002,0.048864665573741514,0,
2010,v2_50_50,True,True,64,0.9999999999999999,1.0000000000000002,0.04902783952100615,0,
2010,v3_floor_008,True,True,64,0.9999999999999998,1.0000000000000002,0.07759666367987247,0,
2010,v3_floor_010,True,True,64,0.9999999999999998,1.0,0.0951499989822982,0,
2010,v3_floor_008_T1.2,True,True,64,0.9999999999999998,1.0000000000000002,0.10504058576936703,0,
2010,v3_floor_008_T1.5,True,True,64,0.9999999999999998,1.0000000000000002,0.13917014228311428,0,
2010,v3_floor_010_T1.2,True,True,64,0.9999999999999998,1.0000000000000002,0.12384864895966748,0,
2010,v3_floor_010_T1.5,True,True,64,0.9999999999999998,1.0000000000000002,0.15796643841122893,0,
2014,v4_elo_ensemble_calibrated_v1,True,True,64,0.9999999999999998,1.0000000000000002,0.01738681167971657,0,
2014,raw_ensemble,True,True,64,0.9999999999999998,1.0000000000000002,0.044762640471091485,0,
2014,v2_70_30,True,True,64,0.9999999999999999,1.0000000000000002,0.04880903801200902,0,
2014,v2_60_40,True,True,64,0.9999999999999998,1.0000000000000002,0.04893982360915491,0,
2014,v2_50_50,True,True,64,0.9999999999999999,1.0000000000000002,0.0490713119789589,0,
2014,v3_floor_008,True,True,64,0.9999999999999999,1.0,0.07759993579533332,0,
2014,v3_floor_010,True,True,64,0.9999999999999998,1.0,0.09515393493378294,0,
2014,v3_floor_008_T1.2,True,True,64,0.9999999999999998,1.0000000000000002,0.10532987209136692,0,
2014,v3_floor_008_T1.5,True,True,64,0.9999999999999998,1.0000000000000002,0.13883324894042362,0,
2014,v3_floor_010_T1.2,True,True,64,0.9999999999999998,1.0000000000000002,0.12418254609814158,0,
2014,v3_floor_010_T1.5,True,True,64,0.9999999999999998,1.0000000000000002,0.15759237414723137,0,
2018,v4_elo_ensemble_calibrated_v1,True,True,64,0.9999999999999998,1.0000000000000002,0.030493718099263406,0,
2018,raw_ensemble,True,True,64,0.9999999999999999,1.0000000000000002,0.06974432019088544,0,
2018,v2_70_30,True,True,64,0.9999999999999998,1.0000000000000002,0.049616410505566325,0,
2018,v2_60_40,True,True,64,0.9999999999999998,1.0000000000000002,0.04981041949797129,0,
2018,v2_50_50,True,True,64,0.9999999999999998,1.0000000000000002,0.050119019145074425,0,
2018,v3_floor_008,True,True,64,0.9999999999999999,1.0,0.07767887890656097,0,
2018,v3_floor_010,True,True,64,0.9999999999999999,1.0,0.09524889184921637,0,
2018,v3_floor_008_T1.2,True,True,64,0.9999999999999998,1.0000000000000002,0.10508485961805224,0,
2018,v3_floor_008_T1.5,True,True,64,0.9999999999999998,1.0000000000000002,0.1388638779959766,0,
2018,v3_floor_010_T1.2,True,True,64,0.9999999999999998,1.0000000000000002,0.12389975277934477,0,
2018,v3_floor_010_T1.5,True,True,64,0.9999999999999998,1.0000000000000002,0.15744144765591261,0,
2022,v4_elo_ensemble_calibrated_v1,True,True,64,0.9999999999999999,1.0000000000000002,0.013112881438938608,0,
2022,raw_ensemble,True,True,64,0.9999999999999999,1.0,0.03176638996480378,0,
2022,v2_70_30,True,True,64,0.9999999999999998,1.0000000000000002,0.04871296119982963,0,
2022,v2_60_40,True,True,64,0.9999999999999999,1.0000000000000002,0.04887909864110116,0,
2022,v2_50_50,True,True,64,0.9999999999999998,1.0000000000000002,0.049046373196904816,0,
2022,v3_floor_008,True,True,64,0.9999999999999999,1.0,0.07759805865184606,0,
2022,v3_floor_010,True,True,64,0.9999999999999999,1.0,0.0951516769623707,0,
2022,v3_floor_008_T1.2,True,True,64,0.9999999999999998,1.0000000000000002,0.10494324057942456,0,
2022,v3_floor_008_T1.5,True,True,64,0.9999999999999998,1.0000000000000002,0.1386548232358225,0,
2022,v3_floor_010_T1.2,True,True,64,0.9999999999999998,1.0000000000000002,0.12373628348577347,0,
2022,v3_floor_010_T1.5,True,True,64,0.9999999999999998,1.0000000000000002,0.1573942459325817,0,
