year,match,actual_result,home_prob,draw_prob,away_prob,true_class_prob,log_loss,model_prediction
2022,Cameroon vs Brazil,home_win,0.06237733813803041,0.1656164288117033,0.7720062330502662,0.06237733813803041,2.774553240434162,away_win
2010,Italy vs New Zealand,draw,0.9132609361785414,0.07359539614023232,0.013143667681226155,0.07359539614023232,2.6091728076462877,home_win
2022,Saudi Arabia vs Argentina,home_win,0.09076287527769267,0.22026895258954074,0.6889681721327666,0.09076287527769267,2.3995049395624615,away_win
2014,Brazil vs Netherlands,away_win,0.6098589602044062,0.2966547121143137,0.09348632768127998,0.09348632768127998,2.3699400813875537,home_win
2014,Brazil vs Germany,away_win,0.5491926310215547,0.33421258077027516,0.11659478820817018,0.11659478820817018,2.1490507041078697,home_win
2014,Germany vs Ghana,draw,0.8560555037161883,0.11784838251638814,0.026096113767423545,0.11784838251638814,2.1383563746293723,home_win
2014,Brazil vs Mexico,draw,0.8288501977375592,0.14095353077881917,0.03019627148362171,0.14095353077881917,1.9593250118682934,home_win
2010,Algeria vs England,draw,0.07001859796077127,0.15456204637124557,0.7754193556679831,0.15456204637124557,1.867159668625986,away_win
2010,South Africa vs France,home_win,0.17790058632807382,0.2606472713161039,0.5614521423558223,0.17790058632807382,1.7265303884862464,away_win
2022,Qatar vs Senegal,away_win,0.4935562201681827,0.3270743408036604,0.17936943902815686,0.17936943902815686,1.7183076948824416,home_win
2022,Denmark vs Tunisia,draw,0.7701140657203158,0.18627319858906022,0.043612735690623954,0.18627319858906022,1.6805408732960718,home_win
2010,Slovakia vs Italy,home_win,0.1880917424018028,0.2699340771540802,0.541974180444117,0.1880917424018028,1.6708254436823664,away_win
2022,Brazil vs Croatia,draw,0.7617304183104823,0.19561145345424005,0.04265812823527773,0.19561145345424005,1.6316249676037011,home_win
2022,Tunisia vs France,home_win,0.19683733329576966,0.30359912698149344,0.49956353972273687,0.19683733329576966,1.6253776106489308,away_win
2010,France vs Uruguay,draw,0.7296084861651103,0.20312320615153473,0.06726830768335502,0.20312320615153473,1.5939425571911137,home_win
2018,Argentina vs Iceland,draw,0.7226430581613577,0.20361168719426362,0.07374525464437869,0.20361168719426362,1.5915405932309261,home_win
2018,South Korea vs Germany,home_win,0.20663751996157503,0.2845522349964127,0.5088102450420123,0.20663751996157503,1.5767891320011116,away_win
2010,England vs United States,draw,0.7124154369439907,0.21074833813972071,0.07683622491628869,0.21074833813972071,1.55709056758929,home_win
2018,Brazil vs Switzerland,draw,0.7306603915548804,0.21317937857111524,0.05616022987400434,0.21317937857111524,1.5456213147684796,home_win
2010,Italy vs Paraguay,draw,0.7078392075959277,0.2172465250774841,0.07491426732658817,0.2172465250774841,1.526722510004907,home_win
2014,Russia vs South Korea,draw,0.7134990346176718,0.2228154347660258,0.06368553061630233,0.2228154347660258,1.5014114969998404,home_win
2014,Brazil vs Chile,draw,0.7213979538782324,0.22335358997507013,0.0552484561466976,0.22335358997507013,1.4989991579974455,home_win
2018,Portugal vs Iran,draw,0.6928569919261452,0.23693960539872985,0.07020340267512504,0.23693960539872985,1.4399499998627947,home_win
2010,Brazil vs Portugal,draw,0.6746546092598508,0.23749086553772825,0.08785452520242103,0.23749086553772825,1.4376261171408562,home_win
2010,Switzerland vs Spain,home_win,0.23796668371774168,0.296793802991226,0.4652395132910324,0.23796668371774168,1.4356245994886268,away_win
2022,Croatia vs Morocco,draw,0.6881579995030406,0.24319659624913587,0.06864540424782356,0.24319659624913587,1.4138851246741846,home_win
2022,Argentina vs Netherlands,draw,0.6889476188158055,0.243874441172871,0.06717794001132346,0.243874441172871,1.411101771490504,home_win
2022,England vs United States,draw,0.6688828786194572,0.24447506968723773,0.08664205169330515,0.24447506968723773,1.4086419397353156,home_win
2018,Russia vs Spain,draw,0.19363972083667905,0.2579656743083492,0.5483946048549716,0.2579656743083492,1.3549287482283088,away_win
2010,Nigeria vs South Korea,draw,0.6128552657207146,0.2632026897139302,0.12394204456535518,0.2632026897139302,1.3348308603053411,home_win
2022,Croatia vs Japan,draw,0.6499018254636105,0.26586774727553264,0.08423042726085687,0.26586774727553264,1.3247562845342007,home_win
2022,Morocco vs Portugal,home_win,0.26814607409151275,0.34908849876912224,0.38276542713936496,0.26814607409151275,1.3162233943782133,away_win
2022,Belgium vs Croatia,draw,0.6419110600921779,0.2697077044642869,0.08838123544353522,0.2697077044642869,1.3104164824506794,home_win
2010,New Zealand vs Paraguay,draw,0.21433322994687057,0.27495433813996295,0.5107124319131664,0.27495433813996295,1.2911502382296594,away_win
2022,Morocco vs Belgium,home_win,0.27585137375771895,0.3360703193320765,0.38807830691020456,0.27585137375771895,1.2878930591864877,away_win
2022,Argentina vs France,draw,0.6310361238308884,0.2787567137846657,0.09020716238444595,0.2787567137846657,1.2774158711717003,home_win
2010,Australia vs Ghana,draw,0.5748490790350272,0.28297037827166655,0.14218054269330627,0.28297037827166655,1.2624130572353693,home_win
2022,Australia vs Denmark,home_win,0.2853979559703342,0.33726701253332697,0.37733503149633885,0.2853979559703342,1.2538707359470587,away_win
2022,South Korea vs Portugal,home_win,0.285903498800955,0.3391311076382912,0.3749653935607538,0.285903498800955,1.252100941880012,away_win
2014,Greece vs Japan,draw,0.6122868546788262,0.28590761932867104,0.1018055259925028,0.28590761932867104,1.252086529681349,home_win
2022,Ghana vs South Korea,home_win,0.2871842368821165,0.3265076813074592,0.38630808181042425,0.2871842368821165,1.2476313288222836,away_win
2018,Japan vs Colombia,home_win,0.2945529252308768,0.32008095865584496,0.3853661161132782,0.2945529252308768,1.222296579877617,away_win
2022,Mexico vs Poland,draw,0.5697054906113229,0.29619292077727793,0.13410158861139906,0.29619292077727793,1.2167442775782855,home_win
2014,Portugal vs United States,draw,0.5965218294125192,0.2973644901918779,0.10611368039560294,0.2973644901918779,1.2127966529192338,home_win
2022,Qatar vs Ecuador,away_win,0.34789319644509675,0.3545313201022095,0.29757548345269375,0.29757548345269375,1.2120873602880153,draw
2022,United States vs Wales,draw,0.5612603493385239,0.3000557579342886,0.13868389272718748,0.3000557579342886,1.2037869618147632,home_win
2022,Japan vs Spain,home_win,0.3023543455282295,0.3411494042222194,0.3564962502495511,0.3023543455282295,1.1961556198567578,away_win
2010,Honduras vs Switzerland,draw,0.47396890936842206,0.30724270563658784,0.21878838499499026,0.30724270563658784,1.180117271626312,home_win
2010,Slovenia vs United States,draw,0.3618839257271996,0.3076588170670346,0.3304572572057658,0.3076588170670346,1.1787638467977797,home_win
2010,New Zealand vs Slovakia,draw,0.41148702998983866,0.3133988927357804,0.2751140772743809,0.3133988927357804,1.1602784821367182,home_win
2018,Morocco vs Spain,draw,0.23571445760842802,0.313899553225091,0.450385989166481,0.313899553225091,1.158682238438552,away_win
2018,Russia vs Uruguay,away_win,0.34455253317558765,0.33950100996419735,0.3159464568602149,0.3159464568602149,1.1521825200676328,home_win
2018,Mexico vs Germany,home_win,0.3159900878974972,0.3380109481600612,0.3459989639424415,0.3159900878974972,1.152044433300176,away_win
2010,South Africa vs Mexico,draw,0.30793233550086463,0.3176789230286025,0.3743887414705328,0.3176789230286025,1.1467140822788306,away_win
2014,Iran vs Nigeria,draw,0.548659978598685,0.3181199156150908,0.13322010578622415,0.3181199156150908,1.1453268741544889,home_win
