model,top1_accuracy,log_loss,brier_score,avg_draw_prob,predicted_draws,draw_recall,min_true_class_prob,worst_10_avg_log_loss
v3_floor_010_T1.5,0.6640625,1.4180612752258577,0.5200458796679805,0.2885289570950498,0.25,0.0,0.1573942459325817,1.3987329026589554
v3_floor_008_T1.5,0.6640625,1.4364296420425637,0.5184789032109136,0.2894431648125191,0.25,0.0,0.1386548232358225,1.402664636909684
raw_ensemble,0.5625,1.446672572942267,0.5753671218799016,0.2640803823020874,0.0,0.0,0.03176638996480378,1.8161926876038568
v3_floor_010_T1.2,0.6640625,1.520001547986027,0.4994839120012297,0.27359883556801057,0.25,0.0,0.12404285097710882,1.4971703259075184
v3_floor_008_T1.2,0.6640625,1.544064647240297,0.4983091775187322,0.27436907990598486,0.25,0.0,0.10520883706752351,1.503088913478441
v3_floor_010,0.6640625,1.629828343608779,0.4850461981852252,0.25825497091226235,0.25,0.0,0.0952248563213009,1.6040396493821238
v3_floor_008,0.6640625,1.6597933509498513,0.48430235847719216,0.25885736986045393,0.25,0.0,0.07765889650947788,1.612131569764558
v2_50_50,0.6640625,1.6895788543589791,0.4843011664450988,0.2592698772825162,0.25,0.0,0.04985402064995348,1.6247077021605967
