match_id,source_row,competition,round,group,date,time,match_datetime_utc,city,venue_country,home_team,away_team,home_is_placeholder,away_is_placeholder,home_advantage,away_advantage,neutral_venue,home_elo,away_elo,elo_diff_home_minus_away,home_elo_date,away_elo_date,home_elo_last_change,away_elo_last_change,home_recent10_matches,home_recent10_wins,home_recent10_draws,home_recent10_losses,home_recent10_win_rate,home_recent10_points_per_match,home_recent10_goals_for_avg,home_recent10_goals_against_avg,away_recent10_matches,away_recent10_wins,away_recent10_draws,away_recent10_losses,away_recent10_win_rate,away_recent10_points_per_match,away_recent10_goals_for_avg,away_recent10_goals_against_avg,h2h_matches,h2h_home_team_wins,h2h_away_team_wins,h2h_draws,h2h_home_team_win_rate,h2h_away_team_win_rate,h2h_draw_rate,h2h_home_goals_avg,h2h_away_goals_avg,h2h_last_match_date,home_win_prob,draw_prob,away_win_prob,home_fair_odds,draw_fair_odds,away_fair_odds,model_prediction,model_version,predicted_winner,draw_risk_level,draw_risk_flag
wc2026_r035,35,World Cup 2026,Matchday 15,Group F,2026-06-25,18:00 UTC-5,2026-06-25 23:00:00,Dallas (Arlington),United States,Japan,Sweden,False,False,0.0,0.0,1.0,1878.0,1660.0,218.0,2025-12-13,2025-12-13,0.0,0.0,10.0,7.0,2.0,1.0,0.7,2.3,1.4,0.6,10.0,2.0,3.0,5.0,0.2,0.9,1.3,2.0,6.0,1.0,2.0,3.0,0.1666666666666666,0.3333333333333333,0.5,1.3333333333333333,2.0,2002-05-25,0.7501454148474085,0.20003562940120148,0.049818955751390004,1.3330748681619495,4.999109423623478,20.07268086850855,home_win,v4_elo_ensemble_calibrated_v1,Japan,low,False
wc2026_r036,36,World Cup 2026,Matchday 15,Group F,2026-06-25,18:00 UTC-5,2026-06-25 23:00:00,Kansas City,United States,Tunisia,Netherlands,False,False,0.0,0.0,1.0,1641.0,1959.0,-318.0,2025-12-13,2025-12-13,0.0,0.0,10.0,4.0,3.0,3.0,0.4,1.5,1.3,1.3,10.0,6.0,3.0,1.0,0.6,2.1,2.8,0.7,3.0,0.0,1.0,2.0,0.0,0.3333333333333333,0.6666666666666666,1.0,2.3333333333333335,2009-02-11,0.22182273677046863,0.29086922692226486,0.4873080363072665,4.508104149101502,3.437971113620937,2.052090106245368,away_win,v4_elo_ensemble_calibrated_v1,Netherlands,medium,True
wc2026_r037,37,World Cup 2026,Matchday 5,Group G,2026-06-15,12:00 UTC-7,2026-06-15 19:00:00,Seattle,United States,Belgium,Egypt,False,False,0.0,0.0,1.0,1849.0,1591.0,258.0,2025-12-13,2025-12-13,0.0,0.0,10.0,7.0,3.0,0.0,0.7,2.4,3.7,0.6,10.0,5.0,3.0,2.0,0.5,1.8,1.3,0.6,4.0,1.0,3.0,0.0,0.25,0.75,0.0,1.0,1.75,2022-11-18,0.7889632674926569,0.16971722352782673,0.041319508979516424,1.2674861317409905,5.892153897014705,24.201642872758633,home_win,v4_elo_ensemble_calibrated_v1,Belgium,low,False
wc2026_r038,38,World Cup 2026,Matchday 5,Group G,2026-06-15,18:00 UTC-7,2026-06-16 01:00:00,Los Angeles (Inglewood),United States,Iran,New Zealand,False,False,0.0,0.0,1.0,1754.0,1586.0,168.0,2025-12-13,2025-12-13,0.0,0.0,10.0,5.0,2.0,3.0,0.5,1.7,2.0,0.7,10.0,1.0,1.0,8.0,0.1,0.4,0.7,1.8,2.0,1.0,0.0,1.0,0.5,0.0,0.5,1.5,0.0,2003-10-12,0.7244051799390149,0.21572784963248434,0.05986697042850084,1.380442917434945,4.635470115256829,16.703701437411144,home_win,v4_elo_ensemble_calibrated_v1,Iran,low,False
wc2026_r039,39,World Cup 2026,Matchday 11,Group G,2026-06-21,12:00 UTC-7,2026-06-21 19:00:00,Los Angeles (Inglewood),United States,Belgium,Iran,False,False,0.0,0.0,1.0,1849.0,1754.0,95.0,2025-12-13,2025-12-13,0.0,0.0,10.0,7.0,3.0,0.0,0.7,2.4,3.7,0.6,10.0,5.0,2.0,3.0,0.5,1.7,2.0,0.7,,,,,,,,,,,0.6462775276816493,0.2643599970299098,0.08936247528844084,1.5473228716264313,3.7827205751059965,11.190379370896315,home_win,v4_elo_ensemble_calibrated_v1,Belgium,medium,True
wc2026_r040,40,World Cup 2026,Matchday 11,Group G,2026-06-21,18:00 UTC-7,2026-06-22 01:00:00,Vancouver,Canada,New Zealand,Egypt,False,False,0.0,0.0,1.0,1586.0,1591.0,-5.0,2025-12-13,2025-12-13,0.0,0.0,10.0,1.0,1.0,8.0,0.1,0.4,0.7,1.8,10.0,5.0,3.0,2.0,0.5,1.8,1.3,0.6,3.0,0.0,2.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,2024-03-22,0.4840150068827711,0.34746350548700605,0.16852148763022293,2.066051642572729,2.878000089817768,5.93396138416629,home_win,v4_elo_ensemble_calibrated_v1,New Zealand,high,True
wc2026_r041,41,World Cup 2026,Matchday 16,Group G,2026-06-26,20:00 UTC-7,2026-06-27 03:00:00,Seattle,United States,Egypt,Iran,False,False,0.0,0.0,1.0,1591.0,1754.0,-163.0,2025-12-13,2025-12-13,0.0,0.0,10.0,5.0,3.0,2.0,0.5,1.8,1.3,0.6,10.0,5.0,2.0,3.0,0.5,1.7,2.0,0.7,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2000-06-07,0.367438958941605,0.37050768026448927,0.2620533607939058,2.721540478125849,2.698999381837763,3.8160166958761463,home_win,v4_elo_ensemble_calibrated_v1,Egypt,high,True
wc2026_r042,42,World Cup 2026,Matchday 16,Group G,2026-06-26,20:00 UTC-7,2026-06-27 03:00:00,Vancouver,Canada,New Zealand,Belgium,False,False,0.0,0.0,1.0,1586.0,1849.0,-263.0,2025-12-13,2025-12-13,0.0,0.0,10.0,1.0,1.0,8.0,0.1,0.4,0.7,1.8,10.0,7.0,3.0,0.0,0.7,2.4,3.7,0.6,,,,,,,,,,,0.2341641349546379,0.2805858485500566,0.48525001649530564,4.270508804406445,3.56397161570178,2.0607933354076953,away_win,v4_elo_ensemble_calibrated_v1,Belgium,medium,True
wc2026_r043,43,World Cup 2026,Matchday 5,Group H,2026-06-15,12:00 UTC-4,2026-06-15 16:00:00,Atlanta,United States,Spain,Cape Verde,False,False,0.0,0.0,1.0,2171.0,1560.0,611.0,2025-12-13,2025-12-13,0.0,0.0,10.0,6.0,4.0,0.0,0.6,2.2,2.7,0.5,10.0,5.0,4.0,1.0,0.5,1.9,1.9,0.9,,,,,,,,,,,0.9410781215814726,0.05093250913891074,0.007989369279616737,1.0626110384114655,19.633825564584907,125.16632602667373,home_win,v4_elo_ensemble_calibrated_v1,Spain,low,False
wc2026_r044,44,World Cup 2026,Matchday 5,Group H,2026-06-15,18:00 UTC-4,2026-06-15 22:00:00,Miami (Miami Gardens),United States,Saudi Arabia,Uruguay,False,False,0.0,0.0,1.0,1612.0,1890.0,-278.0,2025-12-13,2025-12-13,0.0,0.0,10.0,4.0,1.0,5.0,0.4,1.3,1.2,1.3,10.0,4.0,4.0,2.0,0.4,1.6,1.0,0.9,3.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,2018-06-20,0.28954070831363893,0.3501582983027825,0.36030099338357857,3.453745781808238,2.8558512102868923,2.77545723815253,away_win,v4_elo_ensemble_calibrated_v1,Uruguay,high,True
