model,top1_accuracy,non_draw_pick_accuracy,log_loss,brier_score,draw_recall,avg_draw_prob,draw_risk_flags,predicted_draws
elo_only,0.55859375,0.7190126050420168,1.4419979882061362,0.5789496301564634,0.0,0.2654838622079796,51.5,0.0
raw_ensemble,0.5625,0.723608193277311,1.446672572942267,0.5753671218799016,0.0,0.2640803823020874,51.5,0.0
v4,0.5703125,0.7332120348139255,1.456014949346482,0.5734355838241697,0.0,0.26267690239619523,48.0,0.0
v4_elo_ensemble_calibrated_v1,0.6796875,0.8835221588635453,2.115672957666318,0.4223718773843349,0.019230769230769232,0.2545780546708566,38.75,1.5
