match_id,home_team,away_team,polymarket_market_id,polymarket_question,outcome_type,token_id,mapped_outcome,market_slug,market_liquidity,market_end_date,mapping_status,notes,timestamp,best_bid,best_ask,mid_price,spread,bid_depth,ask_depth,last_trade_price,price_fetch_status,model_prob,market_prob,edge,signal
,,,558941,Will Netherlands win the 2026 FIFA World Cup?,manual_review,55935183786009449883683540312350046975246300613283087403691731856990327029236,Yes,will-netherlands-win-the-2026-fifa-world-cup-739,2286776.75001,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.,2026-06-11T06:02:16.197041+00:00,0.04,0.041,0.0405,0.0010000000000000009,8804721.29,28080377.319999993,0.041,ok,,0.041,,Needs Mapping
,,,558941,Will Netherlands win the 2026 FIFA World Cup?,manual_review,103711573894614472510743687764792452240919804104728889027222697502832804498206,No,will-netherlands-win-the-2026-fifa-world-cup-739,2286776.75001,2026-07-20T00:00:00Z,needs_manual_mapping,Confirm market rules before comparing with model probability.,2026-06-11T06:02:16.197041+00:00,0.959,0.96,0.9595,0.0010000000000000009,28085499.28999999,8804721.29,0.041,ok,,0.96,,Needs Mapping
wc2026_r055,Argentina,Algeria,1897088,Will Argentina win on 2026-06-16?,match_1x2,7496871387824498705150337097986995704782987980926026827618928384721521953608,home_win,fifwc-arg-alg-2026-06-16-arg,92478.1427,2026-06-17,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.69,0.7,0.695,0.010000000000000009,97444.42,168892.89,0.3,ok,0.6792190109718638,0.7,-0.020780989028136188,No Bet
wc2026_r055,Argentina,Algeria,1897089,Will Argentina vs. Algeria end in a draw?,match_1x2,72072713045468216718276752473321256680046799783934448189111366264812474363575,draw,fifwc-arg-alg-2026-06-16-draw,71637.3538,2026-06-17,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.2,0.21,0.20500000000000002,0.009999999999999981,77195.84999999999,85647.84,0.79,ok,0.1973190415915718,0.21,-0.0126809584084282,No Bet
wc2026_r055,Argentina,Algeria,1897090,Will Algeria win on 2026-06-16?,match_1x2,83723975923165835008525905491690092591784814181150430498971361513206559812229,away_win,fifwc-arg-alg-2026-06-16-alg,117044.7929,2026-06-17,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.1,0.11,0.10500000000000001,0.009999999999999995,110244.89000000001,179893.95,0.89,ok,0.1234619474365644,0.11,0.013461947436564398,No Bet
wc2026_r020,Australia,Turkey,1897055,Will Australia win on 2026-06-14?,match_1x2,45307929350007847491024268648960623527752242214197163455465935647967776740420,home_win,fifwc-aus-tur-2026-06-14-aus,230333.823,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.17,0.18,0.175,0.009999999999999981,95222.17,2484299.370000001,0.17,ok,0.3371225490172821,0.18,0.15712254901728212,Strong Value
wc2026_r020,Australia,Turkey,1897056,Will Australia vs. Türkiye end in a draw?,match_1x2,6662878441952849446233566648423545530864333832885592059537972358106179673000,draw,fifwc-aus-tur-2026-06-14-draw,185055.5965,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.25,0.26,0.255,0.010000000000000009,151330.43,233212.34,0.74,ok,0.3216424247138051,0.26,0.0616424247138051,Watch
wc2026_r020,Australia,Turkey,1897057,Will Türkiye win on 2026-06-14?,match_1x2,75303319363351541204962251598715680468515536085970822119844634963431663113508,away_win,fifwc-aus-tur-2026-06-14-tur,172368.4957,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.56,0.57,0.565,0.009999999999999898,141269.00999999998,838261.54,0.43,ok,0.3412350262689126,0.57,-0.22876497373108734,Overpriced
wc2026_r056,Austria,Jordan,1897091,Will Austria win on 2026-06-17?,match_1x2,20499437472769847560241881624039508074540415562884114297532631910880371793587,home_win,fifwc-aut-jor-2026-06-17-aut,58535.9181,2026-06-17,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.73,0.74,0.735,0.010000000000000009,41754.6,157745.1,0.74,ok,0.5810462454779801,0.74,-0.15895375452201987,Overpriced
wc2026_r056,Austria,Jordan,1897092,Will Austria vs. Jordan end in a draw?,match_1x2,10941081591300181699750371173224077143006238150019210682727492628846716482576,draw,fifwc-aut-jor-2026-06-17-draw,88323.4886,2026-06-17,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.,2026-06-11T06:02:16.197041+00:00,0.16,0.17,0.165,0.010000000000000009,64634.26,88167.37000000001,0.83,ok,0.2614316657114974,0.17,0.09143166571149738,Strong Value
