match_id,home_team,away_team,polymarket_market_id,polymarket_question,outcome_type,token_id,mapped_outcome,market_slug,market_liquidity,market_end_date,mapping_status,notes
wc2026_r020,Australia,Turkey,1897057,Will Türkiye win on 2026-06-14?,match_1x2,75303319363351541204962251598715680468515536085970822119844634963431663113508,away_win,fifwc-aus-tur-2026-06-14-tur,172368.4957,2026-06-14,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r056,Austria,Jordan,1897091,Will Austria win on 2026-06-17?,match_1x2,20499437472769847560241881624039508074540415562884114297532631910880371793587,home_win,fifwc-aut-jor-2026-06-17-aut,58535.9181,2026-06-17,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r056,Austria,Jordan,1897092,Will Austria vs. Jordan end in a draw?,match_1x2,10941081591300181699750371173224077143006238150019210682727492628846716482576,draw,fifwc-aut-jor-2026-06-17-draw,88323.4886,2026-06-17,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r056,Austria,Jordan,1897093,Will Jordan win on 2026-06-17?,match_1x2,10127485596146788190022715162162490005929142831190335412854285290235849822876,away_win,fifwc-aut-jor-2026-06-17-jor,98821.5896,2026-06-17,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r037,Belgium,Egypt,1897073,Will Belgium win on 2026-06-15?,match_1x2,5699266164849713169703648234886411053444418385408086203990916861286572010447,home_win,fifwc-bel-egy-2026-06-15-bel,91052.5112,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r037,Belgium,Egypt,1897074,Will Belgium vs. Egypt end in a draw?,match_1x2,11945055302217621784910045410746746975726300882345977028546086393834748493487,draw,fifwc-bel-egy-2026-06-15-draw,81613.2148,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r037,Belgium,Egypt,1897075,Will Egypt win on 2026-06-15?,match_1x2,71175597030142754954710752283935666239163672397586595724135510152247112429550,away_win,fifwc-bel-egy-2026-06-15-egy,79981.7677,2026-06-15,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r013,Brazil,Morocco,1897049,Will Brazil win on 2026-06-13?,match_1x2,105492577477219588134242978490999229511934661984574714868659540712157271273221,home_win,fifwc-bra-mar-2026-06-13-bra,270065.9419,2026-06-13,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r013,Brazil,Morocco,1897050,Will Brazil vs. Morocco end in a draw?,match_1x2,28514355574680631350512719849093140985552525989838015190207068633860196282876,draw,fifwc-bra-mar-2026-06-13-draw,169762.174,2026-06-13,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
wc2026_r013,Brazil,Morocco,1897051,Will Morocco win on 2026-06-13?,match_1x2,75153795433255397954364392370254909445351765396945509274877503457182682318715,away_win,fifwc-bra-mar-2026-06-13-mar,184135.2544,2026-06-13,auto_sports_event,Auto-mapped from Polymarket World Cup game page. Market description says regular time plus stoppage time; suitable for group-stage 1X2 comparison.
